execution_file,pattern_file,text_file,preprocess_time,running_time,used_memory,total_time
python,pattern/reg/1024.txt,text/dblp/dblp.xml.1MB,4962.990000000001,57.808818999999986,6768,0:00.19
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.1MB,33519,8624,17480,0:08.85
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.1MB,21370,8322,17408,0:09.13
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.10MB,18936,82493,17464,1:22.51
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.10MB,19073,82422,17460,1:22.44
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.20MB,22087,165174,17440,2:45.23
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.20MB,19151,166600,17464,2:46.62
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.30MB,27489,246898,17468,4:06.93
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.30MB,22305,247729,17484,4:07.82
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.40MB,20006,332069,17492,5:32.13
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.40MB,23239,330519,17404,5:30.63
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.50MB,20479,414044,17488,6:54.10
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.50MB,20547,451786,17460,7:31.84
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.60MB,22391,497843,17448,8:17.89
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.60MB,22694,501602,17504,8:21.64
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.70MB,21807,573107,17444,9:33.17
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.70MB,19735,586212,17496,9:46.28
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.80MB,22707,660109,17404,11:00.21
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.80MB,28887,660296,17484,11:00.36
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.90MB,32223,752400,17464,12:32.50
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.90MB,22885,742561,17452,12:22.63
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.100MB,22903,815925,17484,13:36.01
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.100MB,26939,826529,17460,13:46.60
./run,pattern/net/1024.txt,text/dblp/dblp.xml.1MB,2962,19093,2156,0:19.13
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.1MB,2241,19434,2136,0:19.45
./run,pattern/net/1024.txt,text/dblp/dblp.xml.10MB,988,193207,2140,3:13.21
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.10MB,969,193596,2140,3:13.60
./run,pattern/net/1024.txt,text/dblp/dblp.xml.20MB,1108,386111,2136,6:26.11
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.20MB,971,383948,2136,6:23.95
./run,pattern/net/1024.txt,text/dblp/dblp.xml.30MB,1164,584368,2152,9:44.38
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.30MB,1082,577057,2136,9:37.09
./run,pattern/net/1024.txt,text/dblp/dblp.xml.40MB,1167,765153,2140,12:45.20
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.40MB,1117,776413,2140,12:56.46
./run,pattern/net/1024.txt,text/dblp/dblp.xml.50MB,1421,969283,2172,16:09.34
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.50MB,1433,963454,2144,16:03.49
./run,pattern/net/1024.txt,text/dblp/dblp.xml.60MB,4368,1153876,2180,19:13.96
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.60MB,13539,1170922,2172,19:31.00
./run,pattern/net/1024.txt,text/dblp/dblp.xml.70MB,1480,1355006,2168,22:35.04
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.70MB,1382,1348467,2152,22:28.52
./run,pattern/net/1024.txt,text/dblp/dblp.xml.80MB,1102,1523658,2136,25:23.67
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.80MB,2994,1512687,2160,25:12.75
./run,pattern/net/1024.txt,text/dblp/dblp.xml.90MB,10743,1744892,2176,29:04.96
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.90MB,1154,1734538,2160,28:54.58
./run,pattern/net/1024.txt,text/dblp/dblp.xml.100MB,1609,1944878,2152,32:24.96
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.100MB,9822,1938952,2176,32:19.03
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.1MB,20094,24344,3100,0:24.43
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.1MB,3035,24289,3088,0:24.30
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.10MB,2640,248024,3108,4:08.03
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.10MB,4041,240329,3092,4:00.35
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.20MB,4202,480191,3092,8:00.20
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.20MB,2674,490925,3092,8:10.93
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.30MB,3025,727768,3104,12:07.80
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.30MB,4128,732806,3116,12:12.85
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.40MB,3706,968545,3104,16:08.60
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.40MB,6570,959730,3340,15:59.79
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.50MB,18736,1203830,3128,20:03.89
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.50MB,4168,1222834,3088,20:22.89
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.60MB,8931,1448263,3316,24:08.31
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.60MB,3534,1476651,3052,24:36.69
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.70MB,3166,1692721,3104,28:12.75
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.70MB,6714,1678778,3092,27:58.83
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.80MB,7788,1935303,3100,32:15.37
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.80MB,3166,1926682,3104,32:06.72
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.90MB,4343,2175572,3104,36:15.65
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.90MB,9366,2162898,3088,36:02.99
./run,pattern/exnet/1024.txt,text/dblp/dblp.xml.100MB,11403,2404525,3100,40:04.63
./run_simd,pattern/exnet/1024.txt,text/dblp/dblp.xml.100MB,18714,2405927,3300,40:06.04
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.1MB,15294,15804,3980,0:15.87
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.1MB,6353,15897,3928,0:15.91
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.10MB,4148,157065,3932,2:37.07
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.10MB,4197,158256,3952,2:38.26
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.20MB,4094,314419,3932,5:14.42
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.20MB,4070,313909,3928,5:13.91
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.30MB,4079,475000,3928,7:55.01
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.30MB,5193,476759,3984,7:56.82
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.40MB,6095,627781,4008,10:27.83
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.40MB,5593,625257,3976,10:25.32
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.50MB,9162,771245,3972,12:51.28
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.50MB,8707,787869,3932,13:07.94
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.60MB,5615,969149,3964,16:09.23
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.60MB,5663,947011,3928,15:47.08
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.70MB,6554,1111876,3964,18:31.90
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.70MB,20069,1100892,3932,18:20.99
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.80MB,15275,1251388,3956,20:51.46
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.80MB,19783,1270085,3960,21:10.19
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.90MB,7305,1422193,3956,23:42.23
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.90MB,19807,1417991,3928,23:38.10
./run,pattern/reg/1024.txt,text/dblp/dblp.xml.100MB,14457,1575436,4004,26:15.51
./run_simd,pattern/reg/1024.txt,text/dblp/dblp.xml.100MB,5867,1582793,3932,26:22.87
./run,pattern/ext/32.txt,text/dblp/dblp.xml.10MB,819,22494,2272,0:22.54
./run_simd,pattern/ext/32.txt,text/dblp/dblp.xml.10MB,761,22387,2264,0:22.39
./run,pattern/ext/64.txt,text/dblp/dblp.xml.10MB,1780,22428,2652,0:22.45
./run_simd,pattern/ext/64.txt,text/dblp/dblp.xml.10MB,1318,23165,2640,0:23.17
./run,pattern/ext/128.txt,text/dblp/dblp.xml.10MB,2870,22856,3432,0:22.86
./run_simd,pattern/ext/128.txt,text/dblp/dblp.xml.10MB,2983,22751,3416,0:22.78
./run,pattern/ext/256.txt,text/dblp/dblp.xml.10MB,5322,24096,4992,0:24.10
./run_simd,pattern/ext/256.txt,text/dblp/dblp.xml.10MB,5076,24254,4988,0:24.26
./run,pattern/ext/512.txt,text/dblp/dblp.xml.10MB,8441,69015,8128,1:09.02
./run_simd,pattern/ext/512.txt,text/dblp/dblp.xml.10MB,7890,69128,8128,1:09.14
./run,pattern/ext/1024.txt,text/dblp/dblp.xml.10MB,19723,82228,17460,1:22.25
./run_simd,pattern/ext/1024.txt,text/dblp/dblp.xml.10MB,19490,81907,17448,1:21.93
./run,pattern/net/32.txt,text/dblp/dblp.xml.10MB,261,95185,1948,1:35.24
./run_simd,pattern/net/32.txt,text/dblp/dblp.xml.10MB,150,94897,1936,1:34.90
./run,pattern/net/64.txt,text/dblp/dblp.xml.10MB,197,132224,1948,2:12.23
./run_simd,pattern/net/64.txt,text/dblp/dblp.xml.10MB,244,132372,1952,2:12.40
./run,pattern/net/128.txt,text/dblp/dblp.xml.10MB,252,137765,1976,2:17.77
./run_simd,pattern/net/128.txt,text/dblp/dblp.xml.10MB,237,139013,1968,2:19.01
./run,pattern/net/256.txt,text/dblp/dblp.xml.10MB,650,145473,1996,2:25.48
./run_simd,pattern/net/256.txt,text/dblp/dblp.xml.10MB,343,145997,1992,2:26.00
./run,pattern/net/512.txt,text/dblp/dblp.xml.10MB,688,162246,2048,2:42.25
./run_simd,pattern/net/512.txt,text/dblp/dblp.xml.10MB,630,162253,2040,2:42.25
./run,pattern/net/1024.txt,text/dblp/dblp.xml.10MB,1198,189910,2152,3:09.91
./run_simd,pattern/net/1024.txt,text/dblp/dblp.xml.10MB,957,191821,2136,3:11.82
./run,pattern/exnet/32.txt,text/dblp/dblp.xml.10MB,389,96579,1976,1:36.58
./run_simd,pattern/exnet/32.txt,text/dblp/dblp.xml.10MB,196,95755,1968,1:35.75
./run,pattern/exnet/64.txt,text/dblp/dblp.xml.10MB,434,131539,2016,2:11.54
./run_simd,pattern/exnet/64.txt,text/dblp/dblp.xml.10MB,305,131677,2020,2:11.68
./run,pattern/exnet/128.txt,text/dblp/dblp.xml.10MB,711,170666,2092,2:50.67
